model_name,image_stem,score,pred_box,best_iou,matched_gt_index,is_tp,is_fp,iou_threshold,cum_tp,cum_fp,precision_curve,recall_curve
FasterRCNN,Cars183,0.9881564378738403,"[81.22348022460938, 131.77398681640625, 248.6602325439453, 174.85305786132812]",0.607789823505303,0,1,0,0.5,1,0,1.0,0.014084507042253521
FasterRCNN,Cars370,0.982620894908905,"[283.1690673828125, 244.81707763671875, 415.99725341796875, 284.23834228515625]",0.6455034352587796,0,1,0,0.5,2,0,1.0,0.028169014084507043
FasterRCNN,Cars95,0.9812148809432983,"[276.5941162109375, 192.85061645507812, 394.1922607421875, 267.9681396484375]",0.7322056829954503,0,1,0,0.5,3,0,1.0,0.04225352112676056
FasterRCNN,Cars92,0.9812148809432983,"[276.5941162109375, 192.85061645507812, 394.1922607421875, 267.9681396484375]",0.8369208559060864,0,1,0,0.5,4,0,1.0,0.056338028169014086
FasterRCNN,Cars96,0.9800517559051514,"[135.198486328125, 123.33985137939453, 257.4595642089844, 160.1310272216797]",0.8857134669107943,0,1,0,0.5,5,0,1.0,0.07042253521126761
FasterRCNN,Cars356,0.9800308346748352,"[243.0794219970703, 219.6236114501953, 358.1979675292969, 282.4453125]",0.7856514434440695,0,1,0,0.5,6,0,1.0,0.08450704225352113
FasterRCNN,Cars182,0.9782347083091736,"[151.9849395751953, 134.1162872314453, 249.84170532226562, 162.30459594726562]",0.5727923511101614,0,1,0,0.5,7,0,1.0,0.09859154929577464
FasterRCNN,Cars235,0.9780690670013428,"[149.09127807617188, 141.9407501220703, 243.77989196777344, 167.5106658935547]",0.8102486309887026,0,1,0,0.5,8,0,1.0,0.11267605633802817
FasterRCNN,Cars281,0.9732734560966492,"[148.5406494140625, 164.67636108398438, 238.092529296875, 190.58448791503906]",0.5104161557656792,0,1,0,0.5,9,0,1.0,0.1267605633802817
FasterRCNN,Cars12,0.9731013178825378,"[126.38469696044922, 80.811279296875, 266.78240966796875, 120.25694274902344]",0.8123308275128927,0,1,0,0.5,10,0,1.0,0.14084507042253522
FasterRCNN,Cars120,0.9730912446975708,"[159.98634338378906, 177.23707580566406, 248.443603515625, 203.81002807617188]",0.8086644364125384,0,1,0,0.5,11,0,1.0,0.15492957746478872
FasterRCNN,Cars304,0.9718313217163086,"[139.95391845703125, 113.17648315429688, 220.02401733398438, 155.2074432373047]",0.9044019718302002,0,1,0,0.5,12,0,1.0,0.16901408450704225
FasterRCNN,Cars426,0.9711368083953857,"[152.34429931640625, 204.66842651367188, 275.5046691894531, 240.6931915283203]",0.8238683026508489,0,1,0,0.5,13,0,1.0,0.18309859154929578
FasterRCNN,Cars167,0.9694468379020691,"[174.02496337890625, 252.26019287109375, 321.9954528808594, 291.0400390625]",0.7679520231976952,0,1,0,0.5,14,0,1.0,0.19718309859154928
FasterRCNN,Cars198,0.9678446650505066,"[163.93624877929688, 221.55899047851562, 272.7550964355469, 250.86309814453125]",0.7019002871326614,0,1,0,0.5,15,0,1.0,0.2112676056338028
FasterRCNN,Cars53,0.9667567014694214,"[142.69424438476562, 185.67572021484375, 252.919189453125, 216.68563842773438]",0.7717294779116671,0,1,0,0.5,16,0,1.0,0.22535211267605634
FasterRCNN,Cars98,0.9662577509880066,"[89.844482421875, 196.56405639648438, 241.39541625976562, 273.0946960449219]",0.7666647403173679,0,1,0,0.5,17,0,1.0,0.23943661971830985
FasterRCNN,Cars367,0.9661246538162231,"[234.71218872070312, 164.1871337890625, 367.9801940917969, 215.99588012695312]",0.7163777013101932,0,1,0,0.5,18,0,1.0,0.2535211267605634
FasterRCNN,Cars77,0.9653995633125305,"[229.64144897460938, 156.72500610351562, 309.4039001464844, 182.52197265625]",0.667523943857387,0,1,0,0.5,19,0,1.0,0.2676056338028169
FasterRCNN,Cars231,0.9612588286399841,"[63.261207580566406, 158.7820587158203, 133.09681701660156, 182.20220947265625]",0.8437474486563387,0,1,0,0.5,20,0,1.0,0.28169014084507044
FasterRCNN,Cars359,0.961182713508606,"[230.56236267089844, 229.06655883789062, 262.3685607910156, 241.25308227539062]",0.7013151960319699,0,1,0,0.5,21,0,1.0,0.29577464788732394
FasterRCNN,Cars161,0.9570697546005249,"[309.3920593261719, 282.1229553222656, 407.1707458496094, 315.1849060058594]",0.8141664689058941,0,1,0,0.5,22,0,1.0,0.30985915492957744
FasterRCNN,Cars416,0.9545103311538696,"[148.68582153320312, 201.61756896972656, 234.8306427001953, 227.25242614746094]",0.5325338835129293,0,1,0,0.5,23,0,1.0,0.323943661971831
FasterRCNN,Cars169,0.95308518409729,"[116.99629211425781, 74.130126953125, 220.81800842285156, 106.66168212890625]",0.6303679287428194,0,1,0,0.5,24,0,1.0,0.3380281690140845
FasterRCNN,Cars322,0.950895369052887,"[271.3750305175781, 260.6223449707031, 351.8777770996094, 299.4864501953125]",0.8122003109645152,0,1,0,0.5,25,0,1.0,0.352112676056338
FasterRCNN,Cars0,0.9496505260467529,"[234.72137451171875, 124.0141372680664, 408.01031494140625, 179.34165954589844]",0.7896377433952643,0,1,0,0.5,26,0,1.0,0.36619718309859156
FasterRCNN,Cars136,0.9489812254905701,"[162.7396697998047, 100.71115112304688, 244.337890625, 122.94834899902344]",0.6605114205490173,0,1,0,0.5,27,0,1.0,0.38028169014084506
FasterRCNN,Cars83,0.947507381439209,"[249.7933807373047, 295.8461608886719, 328.1102294921875, 338.21148681640625]",0.8849414554225434,0,1,0,0.5,28,0,1.0,0.39436619718309857
FasterRCNN,Cars203,0.9446863532066345,"[119.9000244140625, 115.53453826904297, 259.96612548828125, 156.21971130371094]",0.6936839389526334,0,1,0,0.5,29,0,1.0,0.4084507042253521
FasterRCNN,Cars349,0.9442107081413269,"[43.62733840942383, 223.64321899414062, 138.86380004882812, 250.64418029785156]",0.7942436360651783,0,1,0,0.5,30,0,1.0,0.4225352112676056
FasterRCNN,Cars405,0.941555380821228,"[245.74354553222656, 212.5289306640625, 294.4097900390625, 231.65200805664062]",0.6418264552485198,0,1,0,0.5,31,0,1.0,0.43661971830985913
FasterRCNN,Cars254,0.941409170627594,"[163.78797912597656, 174.91986083984375, 233.49655151367188, 209.306396484375]",0.8833374632088334,0,1,0,0.5,32,0,1.0,0.4507042253521127
FasterRCNN,Cars286,0.941288411617279,"[206.2778778076172, 192.5081787109375, 285.3209228515625, 230.27554321289062]",0.8678356774232696,0,1,0,0.5,33,0,1.0,0.4647887323943662
FasterRCNN,Cars113,0.9410635828971863,"[161.21014404296875, 111.88117218017578, 300.99853515625, 187.25473022460938]",0.810505903138972,0,1,0,0.5,34,0,1.0,0.4788732394366197
FasterRCNN,Cars345,0.9393875002861023,"[171.5375213623047, 144.69265747070312, 245.9290313720703, 184.1280975341797]",0.8779926909099557,0,1,0,0.5,35,0,1.0,0.49295774647887325
FasterRCNN,Cars126,0.9382789731025696,"[103.49915313720703, 104.97860717773438, 282.3871765136719, 181.8353729248047]",0.7094300777916097,0,1,0,0.5,36,0,1.0,0.5070422535211268
FasterRCNN,Cars106,0.9312255382537842,"[245.3944854736328, 79.12018585205078, 267.7664794921875, 94.9198226928711]",0.8415303372977538,1,1,0,0.5,37,0,1.0,0.5211267605633803
FasterRCNN,Cars65,0.9308798313140869,"[200.82925415039062, 208.0242156982422, 300.9930725097656, 257.54718017578125]",0.7760423677893581,0,1,0,0.5,38,0,1.0,0.5352112676056338
FasterRCNN,Cars351,0.9271724820137024,"[261.7605285644531, 51.174808502197266, 357.59259033203125, 121.41922760009766]",0.6983782041516375,0,1,0,0.5,39,0,1.0,0.5492957746478874
FasterRCNN,Cars80,0.9206879734992981,"[104.34140014648438, 146.05148315429688, 273.8286437988281, 189.06715393066406]",0.817314706871941,0,1,0,0.5,40,0,1.0,0.5633802816901409
FasterRCNN,Cars225,0.9186584949493408,"[212.81138610839844, 164.4483184814453, 371.5785827636719, 220.79013061523438]",0.7010001322240926,0,1,0,0.5,41,0,1.0,0.5774647887323944
FasterRCNN,Cars202,0.9164925813674927,"[196.73387145996094, 137.86993408203125, 247.03799438476562, 154.88299560546875]",0.6796652108624613,0,1,0,0.5,42,0,1.0,0.5915492957746479
FasterRCNN,Cars236,0.9017546772956848,"[225.2066650390625, 108.62278747558594, 245.54795837402344, 116.66938018798828]",0.4663193809399859,-1,0,1,0.5,42,1,0.9767441860465116,0.5915492957746479
FasterRCNN,Cars51,0.8815083503723145,"[262.4636535644531, 141.6817169189453, 317.981689453125, 162.52561950683594]",0.9183001852046941,0,1,0,0.5,43,1,0.9772727272727273,0.6056338028169014
FasterRCNN,Cars300,0.875166118144989,"[259.3631896972656, 184.1176300048828, 319.2998962402344, 215.31997680664062]",0.9192172728533231,0,1,0,0.5,44,1,0.9777777777777777,0.6197183098591549
FasterRCNN,Cars14,0.8549252152442932,"[158.13888549804688, 114.4157943725586, 278.739501953125, 155.051513671875]",0.4929831353713801,-1,0,1,0.5,44,2,0.9565217391304348,0.6197183098591549
FasterRCNN,Cars313,0.8480982184410095,"[177.37924194335938, 209.68402099609375, 253.1834259033203, 247.903076171875]",0.886702333286605,0,1,0,0.5,45,2,0.9574468085106383,0.6338028169014085
FasterRCNN,Cars128,0.8464499115943909,"[102.9337387084961, 63.10264205932617, 308.7310485839844, 161.5577392578125]",0.8332239463717737,0,1,0,0.5,46,2,0.9583333333333334,0.647887323943662
FasterRCNN,Cars106,0.8178238868713379,"[229.99090576171875, 197.67092895507812, 274.4689636230469, 215.04983520507812]",0.6223671479501586,3,1,0,0.5,47,2,0.9591836734693877,0.6619718309859155
FasterRCNN,Cars282,0.8111390471458435,"[48.27699279785156, 135.83543395996094, 318.6837158203125, 208.2236785888672]",0.7746253421533159,0,1,0,0.5,48,2,0.96,0.676056338028169
FasterRCNN,Cars102,0.8111390471458435,"[48.27699279785156, 135.83543395996094, 318.6837158203125, 208.2236785888672]",0.6654045171833236,0,1,0,0.5,49,2,0.9607843137254902,0.6901408450704225
FasterRCNN,Cars64,0.7946650385856628,"[132.60496520996094, 185.3841552734375, 315.9022216796875, 227.70086669921875]",0.7139152487715119,0,1,0,0.5,50,2,0.9615384615384616,0.704225352112676
